PlayerID,Name,Team,Position,Age,Non-SF Value
davis-mills-1029,Davis Mills,HOU,QB,25,182
taylor-heinicke-977,Taylor Heinicke,ATL,QB,31,182
james-robinson-623,James Robinson,NOS,RB,25,182
jaren-hall-1407,Jaren Hall,MIN,QB,26,182
jimmy-garoppolo-395,Jimmy Garoppolo,LAR,QB,32,180
joe-flacco-722,Joe Flacco,IND,QB,39,178
mason-rudolph-110,Mason Rudolph,TEN,QB,28,176
tyrod-taylor-647,Tyrod Taylor,NYJ,QB,34,172
stetson-bennett-1406,Stetson Bennett,LAR,QB,26,171
joe-milton-1556,Joe Milton,NEP,QB,24,130
jake-haener-1409,Jake Haener,NOS,QB,25,50
